"ID"	"WinPercent"	"avg_score"	"info_value"	"draw"	"end"	"pair"
"1"	89	23.3	17.6	8	0	8	3
"2"	84	23.4	17.6	8	0	4	-4
"3"	85	23.5	17.5	8	0	4	1
"4"	80	23.5	15.2	8	1	8	3
"5"	81	23.6	17.6	8	0	0	-4
"6"	87	23.6	17.5	8	0	8	-4
"7"	88	23.6	17.5	8	0	8	1
"8"	75	23.7	15.2	8	1	4	-4
"9"	79	23.7	15.2	8	1	8	1
"10"	86	23.8	17.5	8	0	4	3
"11"	74	23.8	15.5	8	1	0	3
"12"	83	23.8	17.5	8	0	0	3
"13"	73	23.8	15.5	8	1	0	1
"14"	77	23.8	15.2	8	1	4	3
"15"	82	23.9	17.6	8	0	0	1
"16"	76	23.9	15.2	8	1	4	1
"17"	78	23.9	15.2	8	1	8	-4
"18"	71	24	17.5	6	0	8	3
"19"	72	24.1	15.5	8	1	0	-4
"20"	60	24.1	15.2	6	1	8	-4
"21"	61	24.1	15.2	6	1	8	1
"22"	64	24.2	17.6	6	0	0	1
"23"	70	24.2	17.5	6	0	8	1
"24"	69	24.3	17.5	6	0	8	-4
"25"	63	24.3	17.6	6	0	0	-4
"26"	68	24.3	17.5	6	0	4	3
"27"	62	24.3	15.2	6	1	8	3
"28"	67	24.3	17.5	6	0	4	1
"29"	65	24.3	17.6	6	0	0	3
"30"	59	24.3	15.2	6	1	4	3
"31"	56	24.4	15.5	6	1	0	3
"32"	66	24.4	17.5	6	0	4	-4
"33"	58	24.5	15.1	6	1	4	1
"34"	54	24.5	15.5	6	1	0	-4
"35"	51	24.6	17.5	4	0	8	-4
"36"	46	24.6	17.6	4	0	0	1
"37"	55	24.7	15.5	6	1	0	1
"38"	57	24.7	15.2	6	1	4	-4
"39"	53	24.7	17.5	4	0	8	3
"40"	49	24.8	17.5	4	0	4	1
"41"	50	24.8	17.5	4	0	4	3
"42"	52	24.8	17.5	4	0	8	1
"43"	39	24.9	15.2	4	1	4	-4
"44"	44	25	15.1	4	1	8	3
"45"	45	25	17.5	4	0	0	-4
"46"	47	25	17.5	4	0	0	3
"47"	42	25.1	15.1	4	1	8	-4
"48"	48	25.1	17.5	4	0	4	-4
"49"	43	25.1	15.1	4	1	8	1
"50"	38	25.1	15.4	4	1	0	3
"51"	41	25.2	15.1	4	1	4	3
"52"	36	25.2	15.5	4	1	0	-4
"53"	33	25.2	17.5	2	0	8	-4
"54"	37	25.2	15.4	4	1	0	1
"55"	35	25.3	17.5	2	0	8	3
"56"	34	25.3	17.5	2	0	8	1
"57"	40	25.4	15.1	4	1	4	1
"58"	31	25.4	17.5	2	0	4	1
"59"	29	25.5	17.5	2	0	0	3
"60"	26	25.5	15.1	2	1	8	3
"61"	32	25.5	17.5	2	0	4	3
"62"	27	25.5	17.5	2	0	0	-4
"63"	30	25.5	17.5	2	0	4	-4
"64"	25	25.6	15.1	2	1	8	1
"65"	24	25.6	15	2	1	8	-4
"66"	22	25.6	15.1	2	1	4	1
"67"	23	25.6	15	2	1	4	3
"68"	19	25.6	15.3	2	1	0	1
"69"	28	25.7	17.5	2	0	0	1
"70"	20	25.7	15.3	2	1	0	3
"71"	21	25.8	15	2	1	4	-4
"72"	15	25.8	17.5	0	0	8	-4
"73"	12	25.9	17.5	0	0	4	-4
"74"	14	25.9	17.5	0	0	4	3
"75"	18	25.9	15.3	2	1	0	-4
"76"	9	26	17.6	0	0	0	-4
"77"	13	26	17.5	0	0	4	1
"78"	16	26.1	17.4	0	0	8	1
"79"	8	26.1	15	0	1	8	3
"80"	0	26.1	15.3	0	1	0	-4
"81"	10	26.2	17.5	0	0	0	1
"82"	11	26.2	17.5	0	0	0	3
"83"	7	26.2	15	0	1	8	1
"84"	17	26.3	17.4	0	0	8	3
"85"	6	26.4	15	0	1	8	-4
"86"	5	26.4	15	0	1	4	3
"87"	4	26.4	15	0	1	4	1
"88"	3	26.4	15.1	0	1	4	-4
"89"	2	26.4	15.2	0	1	0	3
"90"	1	26.6	15.2	0	1	0	1
