ID WinPercent avg_score info_value draw end pair
56 22.8 17.5 0 0 8 0
59 23.2 17.5 0 0 8 3
58 23.5 17.5 0 0 8 2
51 23.5 17.5 0 0 4 0
53 23.5 17.5 0 0 4 2
46 23.7 17.5 0 0 0 0
57 23.8 17.5 0 0 8 1
50 23.9 17.4 0 0 4 -4
54 23.9 17.4 0 0 4 3
47 23.9 17.5 0 0 0 1
48 24.0 17.5 0 0 0 2
42 24.0 14.9 0 1 8 1
40 24.0 14.8 0 1 8 -4
55 24.1 17.4 0 0 8 -4
52 24.1 17.4 0 0 4 1
44 24.2 14.8 0 1 8 3
45 24.3 17.5 0 0 0 -4
37 24.3 14.8 0 1 4 1
38 24.4 14.8 0 1 4 2
39 24.4 14.9 0 1 4 3
43 24.4 14.8 0 1 8 2
33 24.4 15.0 0 1 0 2
34 24.6 15.0 0 1 0 3
35 24.6 14.8 0 1 4 -4
49 24.6 17.4 0 0 0 3
36 24.7 14.8 0 1 4 0
41 24.7 14.8 0 1 8 0
31 24.7 15.0 0 1 0 0
32 24.9 15.0 0 1 0 1
25 24.9 17.4 0 0 8 -4
26 25.0 17.4 0 0 8 0
28 25.1 17.4 0 0 8 2
17 25.2 17.5 0 0 0 1
29 25.2 17.4 0 0 8 3
30 25.3 14.9 0 1 0 -4
22 25.3 17.4 0 0 4 1
27 25.3 17.3 0 0 8 1
23 25.3 17.4 0 0 4 2
16 25.4 17.5 0 0 0 0
21 25.5 17.3 0 0 4 0
13 25.6 14.8 0 1 8 2
9 25.6 14.8 0 1 4 3
20 25.7 17.3 0 0 4 -4
19 25.7 17.4 0 0 0 3
11 25.8 14.8 0 1 8 0
24 25.8 17.3 0 0 4 3
5 25.8 14.9 0 1 4 -4
14 25.8 14.8 0 1 8 3
6 25.9 14.9 0 1 4 0
15 25.9 17.4 0 0 0 -4
10 26.0 14.7 0 1 8 -4
2 26.0 15.0 0 1 0 1
18 26.0 17.3 0 0 0 2
7 26.1 14.8 0 1 4 1
4 26.2 15.0 0 1 0 3
3 26.2 14.9 0 1 0 2
12 26.3 14.7 0 1 8 1
0 26.3 15.0 0 1 0 -4
8 26.6 14.7 0 1 4 2
1 26.9 15.0 0 1 0 0
