ID WinPercent avg_score info_value info_mod draw end pair
47 23.0 10.6 6 1.6 1 0 2
48 23.0 10.7 6 2 1 0 2
46 23.0 10.7 6 1.3 1 0 2
43 23.3 11.1 6 0.3 1 0 2
44 23.3 10.9 6 0.6 1 0 2
42 23.3 11.1 6 0 1 0 2
39 23.5 10.6 5 1.3 1 0 2
40 23.6 10.6 5 1.6 1 0 2
36 23.7 11.1 5 0.3 1 0 2
45 23.7 10.7 6 1 1 0 2
38 23.8 10.6 5 1 1 0 2
41 24.0 10.5 5 2 1 0 2
31 24.0 10.6 4 1 1 0 2
32 24.1 10.6 4 1.3 1 0 2
34 24.3 10.5 4 2 1 0 2
33 24.3 10.5 4 1.6 1 0 2
35 24.4 10.9 5 0 1 0 2
27 24.4 10.5 3 2 1 0 2
30 24.5 10.7 4 0.6 1 0 2
37 24.5 10.8 5 0.6 1 0 2
29 24.7 10.7 4 0.3 1 0 2
26 24.7 10.5 3 1.6 1 0 2
23 24.8 10.6 3 0.6 1 0 2
22 24.9 10.6 3 0.3 1 0 2
25 25.0 10.5 3 1.3 1 0 2
17 25.0 10.5 2 1 1 0 2
21 25.1 10.9 3 0 1 0 2
28 25.1 10.9 4 0 1 0 2
19 25.1 10.5 2 1.6 1 0 2
24 25.3 10.4 3 1 1 0 2
13 25.4 10.5 1 2 1 0 2
16 25.5 10.4 2 0.6 1 0 2
20 25.6 10.4 2 2 1 0 2
12 25.6 10.5 1 1.6 1 0 2
14 25.6 10.7 2 0 1 0 2
9 26.0 10.5 1 0.6 1 0 2
18 26.0 10.3 2 1.3 1 0 2
10 26.0 10.5 1 1 1 0 2
6 26.1 10.5 0 2 1 0 2
3 26.1 10.4 0 1 1 0 2
7 26.2 10.5 1 0 1 0 2
15 26.2 10.4 2 0.3 1 0 2
5 26.4 10.5 0 1.6 1 0 2
11 26.4 10.5 1 1.3 1 0 2
4 26.4 10.5 0 1.3 1 0 2
8 26.6 10.4 1 0.3 1 0 2
1 26.8 10.4 0 0.3 1 0 2
2 26.9 10.4 0 0.6 1 0 2
0 27.1 10.4 0 0 1 0 2
